id	subject	year	session	number	tex_path	machine_processing_state	machine_processing_note	processed_level	has_informal_outline	informal_proof_path	has_legacy_main	legacy_main_path	has_legacy_statement	legacy_statement_path	has_pipeline_statement	pipeline_statement_path	canary_main_count	latest_canary_main_path	cleanup_closed	cleanup_remaining	cleanup_state	dojo_handoff_path	dojo_state
a00J01	a	00	J	01	/home/joe/code/storage/apm/a00J01.tex			codex_cleanup_blocked	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a00J01.md	true	/home/joe/code/apm-lean/lean-proofs/a00J01/Main.lean	true	/home/joe/code/apm-lean/lean-proofs/a00J01/Statement.lean	true	/home/joe/code/apm-lean/pipeline/lean-proofs/a00J01/Statement.lean	1	/home/joe/code/apm-lean/ApmCanaries/Frames/A00J01/Apm_v2_a00J01_1774990935426/Main.lean	0	2	blocked		
a00J02	a	00	J	02	/home/joe/code/storage/apm/a00J02.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a00J02.md	true	/home/joe/code/apm-lean/lean-proofs/a00J02/Main.lean	true	/home/joe/code/apm-lean/lean-proofs/a00J02/Statement.lean	true	/home/joe/code/apm-lean/pipeline/lean-proofs/a00J02/Statement.lean	3	/home/joe/code/apm-lean/ApmCanaries/Frames/A00J02/Apm_v2_a00J02_1774990402922/Main.lean	0	1	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a00J02.md	dojo_ready
a00J03	a	00	J	03	/home/joe/code/storage/apm/a00J03.tex			codex_cleanup_complete	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a00J03.md	false		false		false		1	/home/joe/code/apm-lean/ApmCanaries/Frames/A00J03/Apm_v2_a00J03_1774991806132/Main.lean	0	0	complete		
a00J04	a	00	J	04	/home/joe/code/storage/apm/a00J04.tex			informal_outline_present	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a00J04.md	false		false		false		0						
a00J05	a	00	J	05	/home/joe/code/storage/apm/a00J05.tex			informal_outline_present	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a00J05.md	false		false		false		0						
a00J06	a	00	J	06	/home/joe/code/storage/apm/a00J06.tex			informal_outline_present	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a00J06.md	false		false		false		0						
a01A01	a	01	A	01	/home/joe/code/storage/apm/a01A01.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A01.md	false		false		false		3	/home/joe/code/apm-lean/ApmCanaries/Frames/A01A01/Apm_v2_a01A01_1774990784258/Main.lean	0	3	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a01A01.md	dojo_ready
a01A02	a	01	A	02	/home/joe/code/storage/apm/a01A02.tex			informal_outline_present	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A02.md	false		false		false		0						
a01A03	a	01	A	03	/home/joe/code/storage/apm/a01A03.tex			informal_outline_present	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A03.md	false		false		false		0						
a01A04	a	01	A	04	/home/joe/code/storage/apm/a01A04.tex			informal_outline_present	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A04.md	false		false		false		0						
a01A05	a	01	A	05	/home/joe/code/storage/apm/a01A05.tex			informal_outline_present	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A05.md	false		false		false		0						
a01A06	a	01	A	06	/home/joe/code/storage/apm/a01A06.tex			informal_outline_present	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A06.md	false		false		false		0						
a01A07	a	01	A	07	/home/joe/code/storage/apm/a01A07.tex			informal_outline_present	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A07.md	false		false		false		0						
a01A08	a	01	A	08	/home/joe/code/storage/apm/a01A08.tex			informal_outline_present	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A08.md	false		false		false		0						
a01A09	a	01	A	09	/home/joe/code/storage/apm/a01A09.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A09.md	false		false		false		1	/home/joe/code/apm-lean/ApmCanaries/Frames/A01A09/Apm_v2_a01A09_1774988409275/Main.lean	0	3	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a01A09.md	dojo_ready
a01A10	a	01	A	10	/home/joe/code/storage/apm/a01A10.tex			informal_outline_present	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A10.md	false		false		false		0						
a01A11	a	01	A	11	/home/joe/code/storage/apm/a01A11.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A11.md	true	/home/joe/code/apm-lean/lean-proofs/a01A11/Main.lean	false		false		0		0	3	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a01A11.md	dojo_ready
a01A12	a	01	A	12	/home/joe/code/storage/apm/a01A12.tex			codex_cleanup_blocked	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01A12.md	true	/home/joe/code/apm-lean/lean-proofs/a01A12/Main.lean	false		false		0		0	4	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a01A12.md	deep_mathlib_blocked
a01J01	a	01	J	01	/home/joe/code/storage/apm/a01J01.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01J01.md	true	/home/joe/code/apm-lean/lean-proofs/a01J01/Main.lean	false		false		1	/home/joe/code/apm-lean/ApmCanaries/Frames/A01J01/Apm_v2_a01J01_1774988573118/Main.lean	0	2	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a01J01.md	dojo_ready
a01J02	a	01	J	02	/home/joe/code/storage/apm/a01J02.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01J02.md	true	/home/joe/code/apm-lean/lean-proofs/a01J02/Main.lean	false		false		1	/home/joe/code/apm-lean/ApmCanaries/Frames/A01J02/Apm_v2_a01J02_1774988681233/Main.lean	0	2	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a01J02.md	dojo_ready
a01J03	a	01	J	03	/home/joe/code/storage/apm/a01J03.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01J03.md	true	/home/joe/code/apm-lean/lean-proofs/a01J03/Main.lean	false		false		0		0	2	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a01J03.md	dojo_ready
a01J04	a	01	J	04	/home/joe/code/storage/apm/a01J04.tex			codex_cleanup_complete	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01J04.md	true	/home/joe/code/apm-lean/lean-proofs/a01J04/Main.lean	false		false		0		1	0	complete		
a01J05	a	01	J	05	/home/joe/code/storage/apm/a01J05.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01J05.md	true	/home/joe/code/apm-lean/lean-proofs/a01J05/Main.lean	false		false		0		0	4	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a01J05.md	dojo_ready
a01J06	a	01	J	06	/home/joe/code/storage/apm/a01J06.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a01J06.md	true	/home/joe/code/apm-lean/lean-proofs/a01J06/Main.lean	false		false		0		0	2	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a01J06.md	dojo_ready
a02J01	a	02	J	01	/home/joe/code/storage/apm/a02J01.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a02J01.md	true	/home/joe/code/apm-lean/lean-proofs/a02J01/Main.lean	false		false		0		0	3	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a02J01.md	dojo_ready
a02J02	a	02	J	02	/home/joe/code/storage/apm/a02J02.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a02J02.md	true	/home/joe/code/apm-lean/lean-proofs/a02J02/Main.lean	false		false		0		0	2	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a02J02.md	dojo_ready
a02J03	a	02	J	03	/home/joe/code/storage/apm/a02J03.tex			lean_dojo_handoff_ready	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a02J03.md	true	/home/joe/code/apm-lean/lean-proofs/a02J03/Main.lean	false		false		0		0	3	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a02J03.md	dojo_ready
a02J04	a	02	J	04	/home/joe/code/storage/apm/a02J04.tex			codex_cleanup_complete	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a02J04.md	true	/home/joe/code/apm-lean/lean-proofs/a02J04/Main.lean	false		false		0		0	0	complete		
a02J05	a	02	J	05	/home/joe/code/storage/apm/a02J05.tex			codex_cleanup_blocked	true	/home/joe/code/futon3c/data/apm-informal-proofs/apm-a02J05.md	true	/home/joe/code/apm-lean/lean-proofs/a02J05/Main.lean	false		false		0		0	1	blocked	/home/joe/code/futon3c/data/apm-lean-dojo-handoffs/apm-a02J05.md	deep_mathlib_blocked
