job-id,query-cardinality,query-vocabulary,pollution,surfaced-set,offered-set,used-set
invoke-1785093496783-145-2f87f259,0,1,0.0,0,0,
invoke-1785094280720-150-9ce4e7d5,0,1,0.0,0,0,
invoke-1785095134283-155-d358d900,0,1,0.0,0,0,
invoke-1785096421259-158-9638e22e,23,1,0.043478260869565216,3,3,
invoke-1785097975445-162-8fe33fd6,15,1,0.0,0,0,
invoke-1785098957336-167-75dd4cab,27,1,0.07407407407407407,2,2,2
invoke-1785131793242-174-5bf7a0f0,9,1,0.0,0,0,
invoke-1785132489867-176-174d5c40,25,1,0.04,2,2,
invoke-1785133507813-179-62057b0e,9,1,0.0,0,0,
invoke-1785134502488-184-2b1ee924,25,1,0.08,0,0,
invoke-1785135152226-188-30280f26,23,1,0.043478260869565216,0,0,
invoke-1785136065904-189-3ec06c7d,22,1,0.0,0,0,
invoke-1785162203614-205-df7f41a7,25,1,0.04,1,1,0
invoke-1785162217380-206-62af57b5,9,1,0.0,0,0,
invoke-1785240826281-228-bafcab4b,12,1,0.0,3,3,0
invoke-1785240935276-230-26db063f,12,1,0.0,3,3,3
invoke-1785243793353-233-a32962a2,12,1,0.0,3,3,3
invoke-1785246177365-240-fcde4301,10,1,0.0,5,5,0
invoke-1785249009600-242-7c47470b,10,1,0.0,0,0,0
invoke-1785252605176-246-d4d860fc,10,1,0.0,0,0,0
invoke-1785307707778-248-e9f70279,10,1,0.0,0,0,0
invoke-1785310211860-251-24da02af,15,1,0.0,0,0,0
invoke-1785313808507-254-5658602f,14,1,0.0,0,0,0
invoke-1785317407944-257-f04f876e,17,1,0.0,0,0,0
invoke-1785321009015-262-9fc1d13c,14,1,0.0,0,0,0
invoke-1785324608474-266-7b6a85fe,21,1,0.0,0,0,0
invoke-1785328208509-272-ad0b3850,14,1,0.0,0,0,0
invoke-1785331807477-275-a2ece5d9,17,1,0.0,0,0,0
invoke-1785335411113-278-b6683cb5,19,1,0.0,0,0,0
invoke-1785339010205-280-f0aef11e,13,1,0.0,0,0,0
invoke-1785342613132-282-b20c35fc,20,1,0.0,5,5,0
invoke-1785346210310-284-2e41ac48,21,1,0.0,0,0,0
invoke-1785349810165-286-c097f49f,19,1,0.0,0,0,0
invoke-1785353412527-288-08144a51,20,1,0.0,5,5,0
invoke-1785357011138-290-05c0166f,19,1,0.0,0,0,0
invoke-1785375010914-293-1a26ff26,16,1,0.0,0,0,0
invoke-1785378610179-295-bc87d401,14,1,0.0,0,0,0
invoke-1785382213987-297-aa0f7e6a,20,1,0.0,0,0,0
invoke-1785385811092-299-4eea364a,20,1,0.0,0,0,
invoke-1785389409762-301-bc11f9f1,20,1,0.0,0,0,0
invoke-1785393010025-303-f9f19596,19,1,0.0,0,0,0
invoke-1785396609394-305-bd0a237d,15,1,0.0,0,0,0
invoke-1785400210642-307-feb5cab2,19,1,0.0,0,0,0
invoke-1785407173436-316-9e0412d5,21,1,0.0,0,0,0
invoke-1785410124442-317-efe6d620,3,1,0.0,0,0,0
invoke-1785415411984-319-e6e43466,3,1,0.0,0,0,0
invoke-1785418441652-322-1d7aff3b,3,1,0.0,0,0,0
invoke-1785419889167-323-bca5d852,3,1,0.0,0,0,0
invoke-1785420986192-328-1da63d82,3,1,0.0,0,0,0
invoke-1785421476581-330-c8636d21,4,1,0.0,0,0,0
invoke-1785422115195-332-f39f0536,4,1,0.0,0,0,0
invoke-1785422637137-334-e4d81ddf,4,1,0.0,0,0,0
invoke-1785423226680-337-1703f50e,4,1,0.0,0,0,0
invoke-1785423775750-340-979d9f4e,4,1,0.0,0,0,0
invoke-1785424328614-342-d628b6a7,4,1,0.0,0,0,0
